sample_name,sample_type,calibrator_id,calibrator_level,sample_id,sample_dilution
131206_0_QC-4-10x,QC,,,131206_0_QC-4,10
131206_0_QC-5-10x,QC,,,131206_0_QC-5,10
131206_0_OxicWTEcoliGlcM9_Filtrate-2-10x,Unknown,,,131206_0_OxicWTEcoliGlcM9_Filtrate-2,10
131206_0_OxicWTEcoliGlcM9_Filtrate-3-10x,Unknown,,,131206_0_OxicWTEcoliGlcM9_Filtrate-3,10
131206_0_OxicWTEcoliGlcM9_Broth-4-10x,Unknown,,,131206_0_OxicWTEcoliGlcM9_Broth-4,10
131206_0_OxicWTEcoliGlcM9_Broth-5-10x,Unknown,,,131206_0_OxicWTEcoliGlcM9_Broth-5,10
131206_0_OxicWTEcoliGlcM9_Broth-6-10x,Unknown,,,131206_0_OxicWTEcoliGlcM9_Broth-6,10
131206_0_OxicEvo03EcoliGlcM9_Filtrate-2-10x,Unknown,,,131206_0_OxicEvo03EcoliGlcM9_Filtrate-2,10
131206_0_OxicEvo03EcoliGlcM9_Filtrate-3-10x,Unknown,,,131206_0_OxicEvo03EcoliGlcM9_Filtrate-3,10
131206_0_OxicEvo03EcoliGlcM9_Broth-4-10x,Unknown,,,131206_0_OxicEvo03EcoliGlcM9_Broth-4,10
131206_0_OxicEvo03EcoliGlcM9_Broth-5-10x,Unknown,,,131206_0_OxicEvo03EcoliGlcM9_Broth-5,10
131206_0_OxicEvo03EcoliGlcM9_Broth-6-10x,Unknown,,,131206_0_OxicEvo03EcoliGlcM9_Broth-6,10
131206_0_OxicEvo04EcoliGlcM9_Filtrate-2-10x,Unknown,,,131206_0_OxicEvo04EcoliGlcM9_Filtrate-2,10
131206_0_OxicEvo04EcoliGlcM9_Filtrate-3-10x,Unknown,,,131206_0_OxicEvo04EcoliGlcM9_Filtrate-3,10
131206_0_OxicEvo04EcoliGlcM9_Broth-4-10x,Unknown,,,131206_0_OxicEvo04EcoliGlcM9_Broth-4,10
131206_0_OxicEvo04EcoliGlcM9_Broth-5-10x,Unknown,,,131206_0_OxicEvo04EcoliGlcM9_Broth-5,10
131206_0_OxicEvo04EcoliGlcM9_Broth-6-10x,Unknown,,,131206_0_OxicEvo04EcoliGlcM9_Broth-6,10
131206_0_OxicEvo08EcoliGlcM9_Filtrate-2-10x,Unknown,,,131206_0_OxicEvo08EcoliGlcM9_Filtrate-2,10
131206_0_OxicEvo08EcoliGlcM9_Filtrate-3-10x,Unknown,,,131206_0_OxicEvo08EcoliGlcM9_Filtrate-3,10
131206_0_OxicEvo08EcoliGlcM9_Broth-4-10x,Unknown,,,131206_0_OxicEvo08EcoliGlcM9_Broth-4,10
131206_0_OxicEvo08EcoliGlcM9_Broth-5-10x,Unknown,,,131206_0_OxicEvo08EcoliGlcM9_Broth-5,10
131206_0_OxicEvo08EcoliGlcM9_Broth-6-10x,Unknown,,,131206_0_OxicEvo08EcoliGlcM9_Broth-6,10
131206_0_OxicEvo09EcoliGlcM9_Filtrate-2-10x,Unknown,,,131206_0_OxicEvo09EcoliGlcM9_Filtrate-2,10
131206_0_OxicEvo09EcoliGlcM9_Filtrate-3-10x,Unknown,,,131206_0_OxicEvo09EcoliGlcM9_Filtrate-3,10
131206_0_OxicEvo09EcoliGlcM9_Broth-4-10x,Unknown,,,131206_0_OxicEvo09EcoliGlcM9_Broth-4,10
131206_0_OxicEvo09EcoliGlcM9_Broth-5-10x,Unknown,,,131206_0_OxicEvo09EcoliGlcM9_Broth-5,10
131206_0_OxicEvo09EcoliGlcM9_Broth-6-10x,Unknown,,,131206_0_OxicEvo09EcoliGlcM9_Broth-6,10
131206_0_QC-4,QC,,,131206_0_QC-4,1
131206_0_QC-5,QC,,,131206_0_QC-5,1
131206_0_QC-6,QC,,,131206_0_QC-6,1
131206_0_OxicWTEcoliGlcM9_Filtrate-2,Unknown,,,131206_0_OxicWTEcoliGlcM9_Filtrate-2,1
131206_0_OxicWTEcoliGlcM9_Filtrate-3,Unknown,,,131206_0_OxicWTEcoliGlcM9_Filtrate-3,1
131206_0_OxicWTEcoliGlcM9_Broth-4,Unknown,,,131206_0_OxicWTEcoliGlcM9_Broth-4,1
131206_0_OxicWTEcoliGlcM9_Broth-5,Unknown,,,131206_0_OxicWTEcoliGlcM9_Broth-5,1
131206_0_OxicWTEcoliGlcM9_Broth-6,Unknown,,,131206_0_OxicWTEcoliGlcM9_Broth-6,1
131206_0_OxicEvo03EcoliGlcM9_Filtrate-2,Unknown,,,131206_0_OxicEvo03EcoliGlcM9_Filtrate-2,1
131206_0_OxicEvo03EcoliGlcM9_Filtrate-3,Unknown,,,131206_0_OxicEvo03EcoliGlcM9_Filtrate-3,1
131206_0_OxicEvo03EcoliGlcM9_Broth-4,Unknown,,,131206_0_OxicEvo03EcoliGlcM9_Broth-4,1
131206_0_OxicEvo03EcoliGlcM9_Broth-5,Unknown,,,131206_0_OxicEvo03EcoliGlcM9_Broth-5,1
131206_0_OxicEvo03EcoliGlcM9_Broth-6,Unknown,,,131206_0_OxicEvo03EcoliGlcM9_Broth-6,1
131206_0_OxicEvo04EcoliGlcM9_Filtrate-2,Unknown,,,131206_0_OxicEvo04EcoliGlcM9_Filtrate-2,1
131206_0_OxicEvo04EcoliGlcM9_Filtrate-3,Unknown,,,131206_0_OxicEvo04EcoliGlcM9_Filtrate-3,1
131206_0_OxicEvo04EcoliGlcM9_Broth-4,Unknown,,,131206_0_OxicEvo04EcoliGlcM9_Broth-4,1
131206_0_OxicEvo04EcoliGlcM9_Broth-5,Unknown,,,131206_0_OxicEvo04EcoliGlcM9_Broth-5,1
131206_0_OxicEvo04EcoliGlcM9_Broth-6,Unknown,,,131206_0_OxicEvo04EcoliGlcM9_Broth-6,1
131206_0_OxicEvo08EcoliGlcM9_Filtrate-2,Unknown,,,131206_0_OxicEvo08EcoliGlcM9_Filtrate-2,1
131206_0_OxicEvo08EcoliGlcM9_Filtrate-3,Unknown,,,131206_0_OxicEvo08EcoliGlcM9_Filtrate-3,1
131206_0_OxicEvo08EcoliGlcM9_Broth-4,Unknown,,,131206_0_OxicEvo08EcoliGlcM9_Broth-4,1
131206_0_OxicEvo08EcoliGlcM9_Broth-5,Unknown,,,131206_0_OxicEvo08EcoliGlcM9_Broth-5,1
131206_0_OxicEvo08EcoliGlcM9_Broth-6,Unknown,,,131206_0_OxicEvo08EcoliGlcM9_Broth-6,1
131206_0_OxicEvo09EcoliGlcM9_Filtrate-2,Unknown,,,131206_0_OxicEvo09EcoliGlcM9_Filtrate-2,1
131206_0_OxicEvo09EcoliGlcM9_Filtrate-3,Unknown,,,131206_0_OxicEvo09EcoliGlcM9_Filtrate-3,1
131206_0_OxicEvo09EcoliGlcM9_Broth-4,Unknown,,,131206_0_OxicEvo09EcoliGlcM9_Broth-4,1
131206_0_OxicEvo09EcoliGlcM9_Broth-5,Unknown,,,131206_0_OxicEvo09EcoliGlcM9_Broth-5,1
131206_0_OxicEvo09EcoliGlcM9_Broth-6,Unknown,,,131206_0_OxicEvo09EcoliGlcM9_Broth-6,1
