,OxicRpoBGlyc_Broth-1,OxicRpoBGlyc_Broth-2,OxicRpoBGlyc_Broth-3,OxicRpoCGlc_Broth-1,OxicRpoCGlc_Broth-2,OxicRpoCGlc_Broth-3,OxicWTGlyc_Broth-1,OxicWTGlyc_Broth-2,OxicWTGlyc_Broth-3
23dpg,0.0760795057167002,0.0539357079769991,0.0724788902566994,0.051735888976601,0.0177886823407004,0.0136553771111996,0.0477867311630006,0.0488410549409006,0.082190720723801
5oxpro,0.0244232408440003,0.0335864618024004,0.0191376746632998,0.0710078918560993,0.0406523942635005,0.0352013537976999,0.286046913959006,0.457451536589998,2.10674268228876
6pgc,0.0264269492470996,0.0238147824782002,0.0194873479588,0.0323004151515,0.0119181886242002,0.0209396294766005,0.0147562892438002,0.0117685742690999,0.0402703794724005
Pool_2pg_3pg,0.132758290528001,0.151468896847004,0.151978178796002,0.193340210824999,0.121839923395001,0.127922489487002,0.000500108819435008,0.00221815391798997,0.115125192061999
accoa,0.378369214512004,0.444680078068005,0.630722628386014,0.772276210543994,0.680052773794005,0.868694009887007,0.386456120075007,0.560935576049008,0.79986419995899
actp,0.00580963004275888,0.00468796879687969,0.00526094276094276,0.00946969696969697,0.00810241451952682,0.00983864620228257,0.316518889685005,0.196710200279997,0.341051306724939
ade,0.00568837411694,0.00899585958596012,0.012155554819,0.00571065890151992,0.00288284621617005,0.00426904879968997,0.00781212451087021,0.00688735792677988,0.0119291141839999
adn,0.0320404091425708,0.0318340495612006,0.0284932611532005,0.00493474506479253,0.00310332328634008,0.00276235084611999,0.00164562391937001,0.00513757420243,0.0242167882354432
adp,0.0857230667542989,0.0765247541389012,0.0830615120417997,0.110334925188998,0.0712091455193993,0.0899261595828012,0.0292073024908,0.0637618028995991,0.102047341274998
akg,0.0790220557956998,0.0514159618774009,0.0690150844907006,0.135917635984999,0.0791741020904002,0.114646965565001,0.075319174742901,0.0395329368834993,0.0821461990005004
amp,0.0324615357176006,0.117893808036999,0.119033703493002,0.0231111655302998,0.0219078946686001,0.0232734533648002,0.0155996957184001,0.0406958030080993,0.0739591388280007
arg-L,1.70791420571003,1.04062359548002,0.884487881628987,0.918594561857079,0.545386939394006,0.98221889767799,0.858239794908994,0.903049455255996,1.32465579534421
asn-L,0.150868045408001,0.0930878145626983,0.148004742635,0.426403186741994,0.136453154918001,0.122088913617002,0.0923400823550984,0.0886208324447001,0.446338325326834
atp,2.45753143590996,1.92797029796998,1.62335871423004,1.97554495264996,1.43638331323997,2.13988094254,2.69124182871003,2.06096909593998,2.66406083128003
camp,0.0684945614891018,0.0434453293767001,0.0560928033459992,0.00195445512812541,0.00180082920110002,0.00277078984652001,0.0127159641460003,0.0144258102283997,0.0964141334377295
cit,0.339840802309995,0.213909435944002,0.270567449705,0.338265150255701,0.301523888511003,0.371163625935006,0.205254898649002,0.186134228649998,0.175144419348234
citr-L,0.0140086311887,0.0128821710335997,0.0177269284499996,0.0363740015151996,0.0216015660347003,0.0165535098385999,0.0156876741849996,0.00470021834102999,0.0170873869207
cmp,0.0103322233454002,0.0245338978585003,0.0201167791455997,0.0160439638257998,0.0120106524063998,0.0135829779614002,0.0156651465101002,0.0180861993468003,0.0147104506662999
coa,0.0287628252400004,0.0722759402164001,0.0678056383675012,0.0876201557794006,0.0898943354098994,0.119173725633999,0.105199225191001,0.0577156201782998,0.141258618684999
ctp,0.0271754860335997,0.0222077977797997,0.0270793978325006,0.0173961695076001,0.0146324765839997,0.0243300005903002,0.0497410602648003,0.0425972771705004,0.0583160833105008
datp,0.0237416599274998,0.0197058908077995,0.0193092375841996,0.0189374863636,0.0155138682547001,0.0224224663517997,0.0231742301392001,0.0180993655025003,0.0214137771540996
dcdp,0.00686787739356998,0.00597400286904004,0.00790053293350007,0.00561105587120993,0.00242083665532,0.00534779122393005,0.00372098190208503,0.00415148604816008,0.0074982418309599
dctp,0.0126977894357997,0.0119673200758002,0.010558461069,0.0116427312499999,0.0091965401069499,0.0134765588350998,0.0121095546682999,0.0128571896383001,0.0160418946239997
dhap,0.24683332416984,0.358998145533004,0.363049199178993,0.158593391287999,0.0969832698103987,0.148307186737999,0.336840997929999,0.193045099417996,0.680732059834474
dtdpglu,0.000235780465699998,0.000217172029703004,0.00027192276936,0.000536541098485,0.000297559228649995,0.000349123179849995,0.000249334334333997,0.000251979805384996,0.000326399119204008
dtmp,0.00279205846812002,0.00177480601185003,0.00266232133837998,0.00266211306818005,0.00136124469292002,0.00159062357340001,0.00166896840022001,0.00180440760241997,0.00485373471156994
f1p,0.0291654514083,0.0175232411679002,0.0195094090908998,0.00419433656340507,0.00335406157834996,0.00259930303029998,0.0127848574711001,0.0118852748156003,0.0258269360396
f6p,0.0186938273843002,0.0153504352309998,0.0162364326599,0.0386577157197004,0.0155584752875999,0.0317361371506992,0.0197944387569002,0.00857380665155994,0.0190391100766998
fad,0.00739598566420985,0.0118269667962997,0.0111052003165,0.0142020702652003,0.00884264479014989,0.0123709956710001,0.00263999018087996,0.00300022625807003,0.00651666681267012
fdp,0.398383017569003,0.351267782365007,0.391695292761996,0.175894857575998,0.123375338356997,0.150349718417999,0.364238968400002,0.310904483471005,0.418108601451008
fum,0.196232609918004,0.140800980910998,0.197227825968005,0.367221717991997,0.186032910387003,0.228533600156995,0.0839949198062012,0.0907902132765012,0.191000155393996
g1p,0.0292913443484003,0.01938011298,0.0286396333122995,0.00642561398387248,0.0066678748870801,0.0146341152393998,0.00792915324414985,0.00455772738381012,0.0105920478369187
g6p,0.0961067353365014,0.0683086347697004,0.064075399726399,0.205466871883999,0.0865714688774993,0.150247488393003,0.105549351511001,0.051343958055599,0.106852384766
gam6p,0.0161177151887003,0.0111455778390001,0.00762599074074009,0.0297959187500004,0.0200507937124997,0.0262770072806003,0.0155513719401003,0.0111870566738,0.0231341885724997
gdp,0.0647000154536013,0.0899401968947008,0.0775806757155,0.041042181635604,0.0299134893858008,0.0446379295553001,0.0128319873281999,0.0328317815249006,0.0659267000958007
gln-L,0.514194123210995,0.550919671654995,0.623673764624991,0.189393939393939,0.162048290390536,0.196772924045651,1.07384565167001,0.77084452057201,1.00155817292
glu-L,6.02989447911015,7.49045303959993,6.20602687250995,9.94470718586002,10.1481481391001,10.6157819459002,9.96708448418016,6.67618963037989,9.28238869880002
glx,0.325440312993921,0.275068380775998,0.260997314039345,0.720528705867754,0.327176180865995,0.43653102319301,0.150599277232002,0.0908159123122989,0.12805807710214
glyc3p,0.807666375023011,0.862691174055012,1.03333155996998,0.127049038815599,0.0257389998380004,0.0426500826445993,0.328473950769002,0.601955001887985,2.06155954274395
gmp,0.0840482370097005,0.199203470972002,0.175882716329997,0.0378787878787879,0.0324096580781073,0.0393545848091303,0.0524578675729631,0.0435306693770989,0.159593033269002
gthox,0.137516168204999,0.187546648639997,0.215907349448998,0.371212726135996,0.184906658563998,0.283561132822001,0.489013154801,0.322937904052996,0.552984933582998
gthrd,1.85786982246003,1.89933738655003,1.81159509154003,3.77758553212788,2.33442644466864,3.04015122785996,6.76436273073683,1.92084006375996,2.98263571672999
gtp,0.308179776213001,0.231522847940996,0.159291202231002,0.226390020075998,0.179491487278997,0.215976769972002,0.173904479138002,0.165751122144997,0.210106931589998
his-L,0.00861339991168997,0.0173180113635997,0.00885279829545012,0.00918170378788003,0.0170360959325998,0.0248185928768005,0.0117408710984001,0.00443863936284,0.00664762242150012
imp,0.0216962472113997,0.0383921503713006,0.0354004263468001,0.00946969696969697,0.00810241451952682,0.00983864620228257,0.0163875334344721,0.0165723671465,0.0366506308186992
ins,0.000260084355828001,0.000697368455595989,0.000804777988214991,0.000351653219696994,0.000181653843760512,0.000168421881148999,0.000237672558923006,0.00044183587241975,0.000785417123038008
itp,0.000572299219186001,0.000823216415391986,0.00185909396043998,0.000378787878787879,0.000324096580781073,0.000393545848091303,0.00174807489307003,0.00104092741935001,0.00201501118108997
lac-L,1.37976517707997,0.761006301380005,1.20816744739,2.27565455492003,2.21409894993002,1.96611218989004,1.28515740854002,1.02113115069002,1.53822981584996
mal-L,0.138073807457002,0.164240794315998,0.164965287926,0.429761099625007,0.265995881117994,0.273344140811994,0.0716253469286987,0.0854068726346018,0.146198305138998
met-L,0.00469898854341009,0.00634806733797992,0.00529969391835001,0.00219175643939003,0.00334341063036993,0.00170635970090998,0.00472923462237003,0.00312198909472003,0.00680610691463991
mmal,0.000902615046148992,0.00312564360739534,0.00201261004082998,0.0126763602272999,0.00764264689678011,0.00825499763872002,0.0045781545181499,0.00279991946591997,0.00431865439029
nad,0.220824507342998,0.210995448169997,0.234894276935996,0.236761665719997,0.172563641873002,0.206498040731995,0.192780442714998,0.146599400049001,0.202962649575996
nadh,0.00404357308585135,0.00642820042348992,0.00633288623893985,0.00127170552975973,0.00237984897099001,0.00152643408106997,0.00776325611006173,0.00299988741710999,0.00336933604171997
nadp,0.0400205552681001,0.0502419995972993,0.0478823462975999,0.0700305329544994,0.0398310794036997,0.0565982833529991,0.0273336437998995,0.0230378153188002,0.0370848361591
nadph,0.00067032836029001,0.000777289041403985,0.00161770875420998,0.000702101515152006,0.00146676421973998,0.00130413498623001,0.000436991081991008,0.000930585066205018,0.00106622079226002
pep,0.054003824247099,0.0457791317882007,0.0435969348694989,0.0356406920455002,0.0189799458758998,0.0254972223534002,0.0420551632314004,0.0288648449302002,0.0644623798604012
phe-L,0.0092059356990101,0.0124996544028999,0.00970704724327001,0.0182748126893999,0.0221561464916997,0.0142758126721998,0.0129367631268002,0.00918259364170012,0.0198259122855
pyr,0.332958140892839,0.325593428592999,0.580767640467002,1.43200932916997,0.649161562145994,0.72169686245601,0.360420640218782,0.369408662022996,1.04079278331099
r5p,0.0143350228899002,0.0148658772126997,0.0159213334385999,0.0206480509470001,0.00478252487441013,0.0097132815820499,0.0148111285149,0.00885363703013015,0.00929998425887741
ru5p-D,0.0191699242424001,0.0484392700832999,0.0491048036615994,0.0833240045455015,0.0448314208394005,0.0578750728059991,0.0428984098872006,0.0256609346280097,0.0302637080139006
s7p,0.000580963004275888,0.000468796879687969,0.000526094276094276,0.0311066210227004,0.0122540620644999,0.0206574360488003,0.000568750568750569,0.000555407446903048,0.000570463672873311
ser-L,0.0298292379136996,0.0268907509984003,0.0192236851376998,0.0752636451166008,0.0479656722616989,0.109475210990997,0.0664629690837013,0.0448482652351879,0.0494721985754007
succ,0.158918944389998,0.142897235036002,0.170505029776999,0.850416825568004,0.515849444497988,0.422961891972006,0.190486677928,0.114859798609001,0.156853492150001
thr-L,0.0343392564146003,0.0313507490931997,0.0351925391035006,0.0968653000000009,0.0743794307244001,0.0793405397481012,0.0564156050659007,0.0217150402068998,0.050385322787499
trp-L,0.000116192600855178,9.37593759375938e-05,0.000105218855218855,0.00667006931818006,0.00427766212931003,0.00425462711530999,0.00320998828374006,0.00168203123611004,0.0016329760240697
tyr-L,0.00700607632052997,0.00797413634068,0.0068822167476801,0.0178444133096998,0.0125830783963999,0.00943981207007013,0.0101924262582999,0.00309508502409003,0.0129170299960998
udp,0.0194872994516,0.0264409512825995,0.0348924546506996,0.0127470314393997,0.0114588210986999,0.0134683380558998,0.00893107289106984,0.0242449049142006,0.0419885757804005
ump,0.0167480377394003,0.0142604662653998,0.0184986178451002,0.0128766946970002,0.00513779857397987,0.00491808264462987,0.00883115788890007,0.00794959054409005,0.0138654380901998
utp,0.051201947852801,0.0633111886814017,0.0608358018728993,0.0354163613635994,0.0593052628423006,0.038729390594299,0.118565452384001,0.0905402572647013,0.112959453496002
xan,0.00177340758040995,0.00133757913290999,0.00163524694865002,0.000626485037878991,0.000716320693566984,0.00207022038566996,0.00148343468467999,0.00130718041856002,0.00196195246897002
